feature,mean_abs_shap
baseline_prev_15min,0.16251587030953932
hist_avg_demand,0.11577628392847805
temperature_2m,0.1021615609375494
month,0.06593055037321686
relative_humidity_2m,0.04298852968611377
baseline_yesterday_same_slot,0.04130292913347081
baseline_prev_1h,0.02575796508303262
weather_code,0.014460720664263065
slot_cos,0.013415651477229526
station_target_enc,0.007158823244322274
wind_speed_10m,0.007034667048146933
slot_sin,0.0066212465977790735
dayofweek,0.00234725220847961
latitude,0.0016120059375442277
longitude,0.0013692520360753366
precipitation,0.00010184496840396762
station_freq,0.0
